model_name,provider,input_price,output_price,model_price,price_unit,currency,description,tags,billing_type,model_multiplier,completion_multiplier,group_multiplier
claude-opus-4-5-20251101,Claude,2.5,12.5,,/M输出,¥,,对话,按量计费,,,
gemini-3-pro-image-preview,Gemini,,,0.159,,¥,"Nano Banana 2是Google Gemini系列中的下一代AI图像生成与编辑模型,是Gemini 2.5 Flash Image(Nano Banana)的升级版。该模型融合多模态Transformer和扩散模型,原生支持2K(2048×2048)及4K分辨率输出,在图像质量、文字渲染、物理推理等方面实现显著提升。",绘画,按次计费,,,
gpt-5.1,OpenAI,0.375,3,,/M输出,¥,"GPT-5.1：更智能、更具对话性的聊天GPT,最常用的型号，现在更温暖、更智能，更能遵循您的指令。","对话, 识图",按量计费,,,
gemini-3-pro-preview,Gemini,0.6,3.6,,/M输出,¥,Gemini 3 是谷歌迄今为止最智能的模型系列，以先进的推理能力为基础。它旨在通过掌握智能体工作流、自主编码和复杂的多模态任务，将任何想法变为现实。gemini-3-pro-preview 最适合需要广泛的世界知识和跨模态的高级推理的复杂任务。,"对话, 思考, 多模态",按量计费,,,
gemini-3-pro-preview-11-2025,Gemini,0.6,3.6,,/M输出,¥,Gemini 3 是谷歌迄今为止最智能的模型系列，以先进的推理能力为基础。它旨在通过掌握智能体工作流、自主编码和复杂的多模态任务，将任何想法变为现实。gemini-3-pro-preview 最适合需要广泛的世界知识和跨模态的高级推理的复杂任务。,"对话, 思考, 多模态",按量计费,,,
gemini-3-pro-preview-thinking,Gemini,0.6,3.6,,/M输出,¥,Gemini 3 是谷歌迄今为止最智能的模型系列，以先进的推理能力为基础。它旨在通过掌握智能体工作流、自主编码和复杂的多模态任务，将任何想法变为现实。gemini-3-pro-preview 最适合需要广泛的世界知识和跨模态的高级推理的复杂任务。,"对话, 思考, 多模态",按量计费,,,
claude-haiku-4-5-20251001,Claude,0.5,2.5,,/M输出,¥,Claude Haiku 4.5 是速度最快、性价比最高的模型，在编码、计算机使用和代理任务方面的表现与 Sonnet 4 相当。,"对话, 识图, 思考",按量计费,,,
claude-haiku-4-5-20251001-thinking,Claude,0.5,2.5,,/M输出,¥,Claude Haiku 4.5 是速度最快、性价比最高的模型，在编码、计算机使用和代理任务方面的表现与 Sonnet 4 相当。,"对话, 识图, 思考",按量计费,,,
claude-opus-4-1-20250805,Claude,7.5,37.5,,/M输出,¥,Anthropic公告，新模型在智能体工具调用、智能体编程与多语言问答能力上全面超越OpenAI o3，Opus 4.1在SWE-bench Verified上的顶级编码性能提升至74.5%，该版本还增强了Claude的深度研究与数据分析能力，特别是在细节追踪和智能体搜索方面。,"对话, 识图",按量计费,,,
claude-opus-4-1-20250805-thinking,Claude,7.5,37.5,,/M输出,¥,Anthropic公告，新模型在智能体工具调用、智能体编程与多语言问答能力上全面超越OpenAI o3，Opus 4.1在SWE-bench Verified上的顶级编码性能提升至74.5%，该版本还增强了Claude的深度研究与数据分析能力，特别是在细节追踪和智能体搜索方面。,"对话, 识图, 思考",按量计费,,,
